 line_num | count | container_number | order_number | lot | item_code |                         product_description                          | qty  | pkgs | pack_type_code |  cbm  |   kgs    | invoice_number 
       78 |     1 | CAAU6980806      | 5170790      | 1   | A582-M    | Whites Vegas Chefs Trousers Black Polycotton - Size M                | 1375 |   55 | CTN            | 2.490 | 1237.500 | 832A
       79 |     1 | CAAU6980806      | 5170790      | 1   | A582-S    | Whites Vegas Chefs Trousers Black Polycotton - Size S                |  100 |    4 | CTN            | 0.180 |   84.000 | 832A
       80 |     1 | CAAU6980806      | 5170790      | 1   | A582-XL   | Whites Vegas Chefs Trousers Black Polycotton - Size XL               |  250 |   10 | CTN            | 0.450 |  210.000 | 832A
       81 |     1 | CAAU6980806      | 5170790      | 1   | A582-XS   | Whites Vegas Chefs Trousers Black Polycotton - Size XS               |  100 |    4 | CTN            | 0.180 |   80.000 | 832A
       82 |     1 | CAAU6980806      | 5170790      | 1   | A582-XXL  | Whites Vegas Chefs Trousers Black Polycotton - Size XXL              |  175 |    7 | CTN            | 0.320 |   86.100 | 832A
       83 |     1 | CAAU6980806      | 5170790      | 1   | A590      | Whites Heavy Duty Water Proof Apron                                  | 1400 |   14 | CTN            | 0.970 |  186.200 | 832A
       84 |     1 | CAAU6980806      | 5170790      | 1   | A928-M    | Whites Nevada Chefs Jacket White with Black Contrast - Size M        |  120 |    3 | CTN            | 0.210 |   29.100 | 832A
       85 |     1 | CAAU6980806      | 5170790      | 1   | B046      | Whites Tabard with Pocket Black - One Size                           |  200 |    2 | CTN            | 0.140 |   25.000 | 832A
       86 |     1 | CAAU6980806      | 5170790      | 1   | B226      | Whites Net Peaked Hat White - One Size                               |  300 |    1 | CTN            | 0.070 |   22.000 | 832A
       87 |     1 | CAAU6980806      | 5170790      | 1   | B250-L    | Whites Boston Short Sleeved White Jacket - Size L                    |  675 |   27 | CTN            | 1.220 |  688.500 | 832A
       88 |     1 | CAAU6980806      | 5170790      | 1   | B250-M    | Whites Boston Short Sleeved White Jacket - Size M                    | 1575 |   63 | CTN            | 2.850 | 1512.000 | 832A
       89 |     1 | CAAU6980806      | 5170790      | 1   | B250-S    | Whites Boston Short Sleeved White Jacket - Size S                    |  375 |   15 | CTN            | 0.680 |  412.500 | 832A
       90 |     1 | CAAU6980806      | 5170790      | 1   | B250-XL   | Whites Boston Short Sleeved White Jacket - Size XL                   |  425 |   17 | CTN            | 0.770 |  467.500 | 832A
       91 |     1 | CAAU6980806      | 5170790      | 1   | B250-XS   | Whites Boston Short Sleeved White Jacket - Size XS                   |  375 |   15 | CTN            | 0.680 |  457.500 | 832A
       92 |     1 | CAAU6980806      | 5170790      | 1   | B255      | Whites Peaked Hat - White                                            |  600 |    2 | CTN            | 0.140 |   30.000 | 832A
       93 |     1 | CAAU6980806      | 5170790      | 1   | B989-L    | Southside Chefs Utility Trousers - Size L                            |  100 |    4 | CTN            | 0.180 |   30.000 | 832A
       94 |     1 | CAAU6980806      | 5170790      | 1   | B998-M    | Southside Chefs Jacket - Size M                                      |  100 |    4 | CTN            | 0.180 |   30.000 | 832A
       95 |     1 | CAAU6980806      | 5170790      | 1   | B998-XL   | Southside Chefs Jacket - Size XL                                     |   75 |    3 | CTN            | 0.140 |   22.500 | 832A
       96 |     1 | CAAU6980806      | 5170790      | 1   | BA002-S   | Whites Vegas Big Check Trousers Black & White Polycotton - Size S    |   50 |    2 | CTN            | 0.090 |   21.600 | 832A
       97 |     1 | CAAU6980806      | 5170790      | 1   | BA112-XL  | Whites Vegas Chefs Trousers Charcoal - Size XL                       |  100 |    4 | CTN            | 0.180 |   33.000 | 832A
       98 |     1 | CAAU6980806      | 5170790      | 1   | BA116-L   | Southside Harlem Chefs Jacket White Short Sleeve Mesh - Size L       |  125 |    5 | CTN            | 0.230 |   43.000 | 832A
       99 |     1 | CAAU6980806      | 5170790      | 1   | BA116-M   | Southside Harlem Chefs Jacket White Short Sleeve Mesh - Size M       |  125 |    5 | CTN            | 0.230 |   43.000 | 832A
      100 |     1 | CAAU6980806      | 5170790      | 1   | BA116-XL  | Southside Harlem Chefs Jacket White Short Sleeve Mesh - Size XL      |  125 |    5 | CTN            | 0.230 |   43.000 | 832A
      101 |     1 | CAAU6980806      | 5170790      | 1   | BA199-L   | Southside Casual Trouser Black - Size L                              |  100 |    4 | CTN            | 0.180 |   35.000 | 832A
      102 |     1 | CAAU6980806      | 5170790      | 1   | BA199-M   | Southside Casual Trouser Black - Size M                              |  125 |    5 | CTN            | 0.230 |   41.250 | 832A
      103 |     1 | CAAU6980806      | 5170790      | 1   | BA199-S   | Southside Casual Trouser Black - Size S                              |  100 |    4 | CTN            | 0.180 |   32.000 | 832A
      104 |     1 | CAAU6980806      | 5170790      | 1   | BA199-XL  | Southside Casual Trouser Black - Size XL                             |  100 |    4 | CTN            | 0.180 |   36.000 | 832A
      105 |     1 | CAAU6980806      | 5170790      | 1   | BB177     | Whites Short Bistro Apron Burgundy - 750x373mm 29.5x14.7"            |  180 |    1 | CTN            | 0.070 |   12.500 | 832A
      106 |     1 | CAAU6980806      | 5170790      | 1   | BB476     | Nisbets Essentials Chef Skull Cap Black - One Size (Pack 2)          |  600 |    4 | CTN            | 0.280 |   50.000 | 832A
      107 |     1 | CAAU6980806      | 5170790      | 1   | BB477-S   | Nisbets Essentials Chef Trousers - Size S                            |  700 |   28 | CTN            | 1.260 |  616.000 | 832A
      108 |     1 | CAAU6980806      | 5170790      | 1   | BB477-XL  | Nisbets Essentials Chef Trousers - Size XL                           |  150 |    6 | CTN            | 0.270 |  144.000 | 832A
